CENTRAL PARK WEST,WEST 74 STREET,444.0
FAIRMONT PL,MARMION AVENUE,444.0
PITKIN AVE,95th ST,281.0
DRUMGOOLE ROAD WEST,ANNADALE ROAD,326.0
4 AVENUE,28 STREET,869.0
35 AVE,200 STREET,444.0
BEDFORD AVE,PROSPECT PL,326.0
WEBSTER AVENUE,EAST 233 STREET,326.0
BOSTON ROAD,BRONX PARK EAST,218.0
BROOKLYN AVE,ST JOHN'S PL,424.0
VERMONT PLACE,HIGHLAND BOULEVARD,444.0
LENOX AVE,WEST 112 ST,125.0
SHORE PKWY,BAY 46th ST,869.0
BATH AVE,BAY 22nd ST,281.0
HENRY HUDSON PKWY,INDEPENDENCE AVE,281.0
EAST 204 STREET,GRAND CONCOURSE,204.0
WEST 34 STREET,5 AVENUE,281.0
BROADWAY,WEST 98 ST,869.0
AVENUE N,BOB STONEHILL WAY,326.0
ARCHER AVE,143 STREET,444.0
OCEAN AVE,AVE R,424.0
PARK AVE,58th ST,444.0
HOMELAWN STREET,84 AVE,204.0
BROADWAY,EAST 11 STREET,204.0
CENTRAL AVE,SAGE ST,218.0
MYRTLE AVE,CLASSON AVE,869.0
CLARENDON ROAD,BROOKLYN AVENUE,424.0
LAKEWOOD AVE,INWOOD STREET,218.0
GRAND AVE,CATHERINE ST,281.0
37 STREET,12 AVENUE,125.0
YORK AVENUE,EAST 74 STREET,281.0
11 AVENUE,WEST 43 STREET,204.0
3 AVENUE,EAST 27 STREET,125.0
TRINITY PL,EDGER ST,204.0
ORIENTAL BLVD,HASTINGS ST,218.0
EDWARD L GRANT HIGHWAY,NELSON AVENUE,204.0
HENRY HUDSON PKWY,W 235th ST,326.0
ROGERS AVE,LINCOLN PL,125.0
AVENUE OF THE AMERICAS,WEST 26 STREET,281.0
HOWARD AVENUE,BAINBRIDGE STREET,869.0
FT HAMILTON PARKWAY,36 STREET,281.0
WALTHAM STREET,101 AVE,326.0
111 AVE,142 STREET,424.0
1 AVENUE,EAST 73 STREET,424.0
5 AVENUE,EAST 46 STREET,326.0
EAST 241 STREET,HILL AVENUE,218.0
ZEREGA AVENUE,BRUCKNER BOULEVARD,444.0
AMSTERDAM AVE,WEST 99 ST,444.0
CONEY ISLAND AVE,CATON AVE,869.0
AMSTERDAM AVENUE,WEST 73 STREET,281.0
2 AVE,EAST 124 ST,424.0
8 AVE,WEST 124 ST,204.0
ROOSEVELT AVE,147 STREET,218.0
PARK AVENUE,EAST 59 STREET,424.0
56th RD,43rd ST,218.0
ALBANY AVENUE,FARRAGUT ROAD,218.0
LINDEN BOULEVARD,HINSDALE STREET,326.0
MYRTLE AVE,THROOP AVE,424.0
WEST END AVENUE,WEST 97 STREET,281.0
AVE Z,E 15th ST,204.0
48th ST,37th AVE,204.0
LENOX AVE,WEST 123 ST,218.0
FLATLANDS AVE,LOUISIANA AVE,869.0
CHURCH STREET,DUANE STREET,204.0
COURT STREET,DE GRAW STREET,326.0
AMSTERDAM AVE,WEST 165 ST,444.0
DRIGGS AVE,LORIMER ST,125.0
ARTHUR KILL ROAD,ENGLEWOOD AVENUE,326.0
JEROME AVENUE,EAST MOSHOLU PARKWAY NORTH,281.0
AVENUE J,EAST 12 STREET,281.0
HENRY HUDSON PKWY,FAIRFIELD AVE,281.0
E 177 ST,HARDING AVENUE,125.0
111 AVE,142 STREET,281.0
8 AVE,WEST 123 ST,218.0
86th ST,W 11th ST,281.0
39th ST,NORTHERN BLVD,125.0
BAY PKWY,72nd ST,326.0
Manhattan  BROADWAY,WEST 149 ST,125.0
8 AVENUE,CARROLL STREET,869.0
4 AVENUE,BUTLER STREET,218.0
AMSTERDAM AVE,WEST 118 ST,424.0
AVE N,E 15th ST,424.0
7 AVE,WEST 148 ST,869.0
LIBERTY AVE,BRISBIN STREET,869.0
CROTONA AVENUE,EAST 187 STREET,326.0
SHERIDANA AVENUE,EAST 161 STREET,204.0
BROADWAY,WEST 99 ST,424.0
BROADWAY,DUANE STREET,204.0
3 AVE,EAST 123 ST,869.0
2 AVENUE,EAST 59 STREET,869.0
BEDFORD AVE,AVE R,869.0
8 AVE,WEST 124 ST,444.0
EAST 165 STREET,CARROLL PLACE,869.0
ZEREGA AVENUE,BRUCKNER BOULEVARD,204.0
AVE U,W 10th ST,218.0
WEST 135 STREET,8 AVENUE,125.0
BEDFORD AVE,HANCOCK ST,125.0
AVENUE OF AMERICAS,WEST 11 STREET,869.0
ROGERS AVE,CLARKSON AVE,125.0
AMSTERDAM AVE,WEST 99 ST,204.0
NOSTRAND AVE,LENOX RD,125.0
SPRINGFIELD BLVD,115 ROAD,218.0
56 AVE,194 STREET,218.0
JAMAICA AVE,CARPENTER AVE,326.0
26 AVE,200 STREET,125.0
5 AVENUE,WEST 59 STREET,869.0
AMSTERDAM AVE,WEST 119 ST,125.0
WADSWORTH AVENUE,WEST 188 STREET,326.0
CHURCH STREET,DUANE STREET,444.0
AMSTERDAM AVE,WEST 165 ST,204.0
WEST BROADWAY,PRINCE STREET,424.0
CANAL STREET,BROADWAY,869.0
8 AVE,WEST 148 ST,326.0
50 STREET,13 AVENUE,281.0
AVE Z,E 15th ST,444.0
AVE M,E 15th ST,869.0
48th ST,37th AVE,444.0
WEST GUN HILL ROAD,MOSHOLU PARKWAY,125.0
SEAGRIT BLVD,BEACH 7th ST,218.0
BROADWAY,PRINCE STREET,281.0
HICKS STREET,KANE STREET,125.0
WHITE PLAINS ROAD,EAST 215 STREET,218.0
MONTROSE AVE,UNION AVE,281.0
2 AVENUE,EAST 46 STREET,424.0
CROPSEY AVE,BAY 22nd ST,424.0
GOWANUS EXPRESSWAY,29 STREET,869.0
HUGUENOT AVE,WOODROW RD,125.0
